tau,samples_per_state,repeat,resolved_count
0.1,5000,70,48
0.1,5000,71,48
0.1,5000,72,48
0.1,5000,73,48
0.1,5000,74,48
0.1,5000,75,48
0.1,5000,76,48
0.1,5000,77,48
0.1,5000,78,48
0.1,5000,79,48
0.1,5000,80,48
0.1,5000,81,48
0.1,5000,82,48
0.1,5000,83,48
0.1,5000,84,48
0.1,5000,85,48
0.1,5000,86,48
0.1,5000,87,48
0.1,5000,88,48
0.1,5000,89,48
0.1,5000,90,48
0.1,5000,91,48
0.1,5000,92,48
0.1,5000,93,48
0.1,5000,94,48
0.1,5000,95,48
0.1,5000,96,48
0.1,5000,97,48
0.1,5000,98,48
0.1,5000,99,48
0.4,100,0,11
0.4,100,1,11
0.4,100,2,11
0.4,100,3,12
0.4,100,4,9
0.4,100,5,11
0.4,100,6,13
0.4,100,7,11
0.4,100,8,11
0.4,100,9,12
0.4,100,10,11
0.4,100,11,11
0.4,100,12,11
0.4,100,13,12
0.4,100,14,11
0.4,100,15,13
0.4,100,16,12
0.4,100,17,12
0.4,100,18,13
0.4,100,19,11
0.4,100,20,11
0.4,100,21,11
0.4,100,22,12
0.4,100,23,11
0.4,100,24,11
0.4,100,25,12
0.4,100,26,12
0.4,100,27,13
0.4,100,28,11
0.4,100,29,12
0.4,100,30,10
0.4,100,31,12
0.4,100,32,12
0.4,100,33,12
0.4,100,34,12
0.4,100,35,12
0.4,100,36,12
0.4,100,37,12
0.4,100,38,11
0.4,100,39,10
0.4,100,40,12
0.4,100,41,11
0.4,100,42,12
0.4,100,43,13
0.4,100,44,10
0.4,100,45,12
0.4,100,46,12
0.4,100,47,12
0.4,100,48,11
0.4,100,49,12
0.4,100,50,11
0.4,100,51,11
0.4,100,52,13
0.4,100,53,11
0.4,100,54,11
0.4,100,55,11
0.4,100,56,12
0.4,100,57,11
0.4,100,58,12
0.4,100,59,12
0.4,100,60,12
0.4,100,61,10
0.4,100,62,11
0.4,100,63,12
0.4,100,64,11
0.4,100,65,10
0.4,100,66,11
0.4,100,67,11
0.4,100,68,11
0.4,100,69,12
0.4,100,70,12
0.4,100,71,10
0.4,100,72,12
0.4,100,73,13
0.4,100,74,11
0.4,100,75,12
0.4,100,76,12
0.4,100,77,13
0.4,100,78,11
0.4,100,79,12
0.4,100,80,10
0.4,100,81,10
0.4,100,82,12
0.4,100,83,11
0.4,100,84,12
0.4,100,85,11
0.4,100,86,12
0.4,100,87,11
0.4,100,88,11
0.4,100,89,12
0.4,100,90,10
0.4,100,91,11
0.4,100,92,10
0.4,100,93,11
0.4,100,94,12
0.4,100,95,11
0.4,100,96,11
0.4,100,97,11
0.4,100,98,11
0.4,100,99,11
0.4,500,0,24
0.4,500,1,23
0.4,500,2,24
0.4,500,3,23
0.4,500,4,24
0.4,500,5,24
0.4,500,6,24
0.4,500,7,23
0.4,500,8,24
0.4,500,9,24
0.4,500,10,25
0.4,500,11,23
