tau,partition,states,micro_algebraic_rank,micro_sigma_min,population_closure_max_row_tv,effective_information_bits,delta_ei_vs_micro_bits,effectiveness_ei_over_log2_states
0.1,micro48,48,48,0.30119421191220236,0.0,2.9727066691927058,0.0,0.5322697634601586
0.1,family8,8,48,0.30119421191220236,1.2913932076474843e-15,1.6842462969775567,-1.288460372215149,0.5614154323258522
0.1,t2,2,48,0.30119421191220236,5.967448757360216e-16,0.2297484487571276,-2.742958220435578,0.2297484487571276
0.4,micro48,48,48,0.008229747049020044,0.0,0.6808911510386345,0.0,0.1219150801730029
0.4,family8,8,48,0.008229747049020044,9.194034422677078e-16,0.4529489714592398,-0.22794217957939472,0.15098299048641325
0.4,t2,2,48,0.008229747049020044,2.498001805406602e-16,0.005944677210647099,-0.6749464738279874,0.005944677210647099
1.0,micro48,48,48,6.144212353391563e-06,0.0,0.04669255471125942,0.0,0.0083604061272086
1.0,family8,8,48,6.144212353391563e-06,3.8163916471489756e-16,0.03975770988103142,-0.006934844830228,0.013252569960343805
1.0,t2,2,48,6.144212353391563e-06,1.1102230246251565e-16,4.432116884889098e-06,-0.04668812259437453,4.432116884889098e-06
