model,samples_per_state,repeat,observed_micro_ei_bits,observed_macro_ei_bits,observed_delta_ei_bits,null_micro_ei_bits,null_macro_ei_bits,null_delta_ei_bits
eta_0,500,13,0.9333887617246429,0.8627607262746364,-0.07062803545000651,0.06699283604811405,0.0011691789464368428,-0.06582365710167722
eta_0,500,14,0.9234254282135107,0.853552785999941,-0.0698726422135697,0.06691724594955789,0.0017187493173431239,-0.06519849663221476
eta_0,500,15,0.903424696262797,0.8354086455691119,-0.0680160506936851,0.06799352916384603,0.0010806179485544386,-0.0669129112152916
eta_0,500,16,0.9164370043316926,0.8493292593402912,-0.06710774499140137,0.06761924393526829,0.00236678071502124,-0.06525246322024705
eta_0,500,17,0.9217764518141748,0.8493900155928975,-0.07238643622127727,0.07024610294156221,0.0011862773196823731,-0.06905982562187983
eta_0,500,18,0.9151620277033597,0.8472689070668069,-0.06789312063655284,0.06850438628914012,0.001580341595335682,-0.06692404469380443
eta_0,500,19,0.9185837158253426,0.8505812458296633,-0.06800246999567927,0.07168079848505238,0.0016294652989665352,-0.07005133318608585
eta_0,500,20,0.9246427369008643,0.8528327353586038,-0.07181000154226047,0.06687758487950209,0.0016235490285981674,-0.06525403585090392
eta_0,500,21,0.914901401620198,0.8461122655547552,-0.06878913606544279,0.06601814856621196,0.0018361092688731798,-0.06418203929733879
eta_0,500,22,0.9174450044635559,0.8491513683098799,-0.06829363615367601,0.06770038618823876,0.001174651781595408,-0.06652573440664335
eta_0,500,23,0.930219813082509,0.8596727728747975,-0.07054704020771152,0.06545497498515902,0.001061300009805572,-0.06439367497535345
eta_0,500,24,0.9187007895796975,0.8510090422687047,-0.06769174731099281,0.06829092924801801,0.0012237283521600482,-0.06706720089585796
eta_0,500,25,0.9105894058743624,0.8408747895397837,-0.06971461633457876,0.06830915985069563,0.0017452132143256855,-0.06656394663636994
eta_0,500,26,0.9223857781239708,0.8522051939132398,-0.07018058421073103,0.06613987701351108,0.0011651869131132342,-0.06497469010039784
eta_0,500,27,0.9290104969717928,0.8572039447054158,-0.071806552266377,0.06472582365872566,0.0019277259601222434,-0.06279809769860342
eta_0,500,28,0.9313958960209784,0.8620285851597174,-0.06936731086126102,0.06502757997328541,0.0013383025803741916,-0.06368927739291122
eta_0,500,29,0.9499569729179695,0.879246316853413,-0.07071065606455651,0.06380863334167382,0.00204829977213464,-0.06176033356953918
eta_0,500,30,0.9308621680990964,0.8602346554530232,-0.07062751264607314,0.06962724564348112,0.0016756888580623918,-0.06795155678541873
