model,micro_ei_bits,designated_closure_tv,designated_macro_ei_bits,designated_delta_ei_bits,designated_closure_better_fraction,designated_ei_better_fraction,random_median_closure_tv,random_min_closure_tv,random_median_macro_ei_bits,random_max_macro_ei_bits,closure_of_max_ei_random,ei_of_min_closure_random,spearman_ei_vs_negative_closure,strong_alignment_abs_rho_ge_0_5
eta_0,0.8539524998678347,3.903127820947816e-18,0.8539524998678348,1.1102230246251565e-16,1.0,1.0,0.27777764877950195,0.18675201094235014,0.04147856277242328,0.14392434361546813,0.3991956061648614,0.01342268000937901,-0.7202302277870284,True
eta_0.02,0.8550918207899315,4.5102810375396984e-17,0.8539524998678348,-0.001139320922096676,1.0,1.0,0.27324065648444257,0.17105456592246526,0.045132099593897815,0.148637358229966,0.35932840517328457,0.014248949709373694,-0.7355507603876902,True
eta_0.2,0.9581039769634154,1.0234868508263162e-16,0.853952499867835,-0.10415147709558048,1.0,1.0,0.24342249115435088,0.1641333376738619,0.09867821887544223,0.18023915874399182,0.31835080356939827,0.06311297494490442,-0.6628225312056328,True
eta_0.8,2.361899155087565,5.941427905220564e-17,0.8539524998678348,-1.5079466552197305,1.0,1.0,0.25810865585666964,0.20567518064111612,0.5756990828834156,0.7523354779227791,0.2938659299972716,0.5260938755420785,-0.3992451263112815,False
isospectral_broken_8partition,0.8552341795867148,0.005079165887234451,0.8538929897985229,-0.0013411897881918655,1.0,1.0,0.27429012689869936,0.17998857219792913,0.04600930298379926,0.13285659576703623,0.3381704246739444,0.023898269126845076,-0.742027964506991,True
